Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
MAOB,monoamine oxidase B,4129,RP1-201D17__B.1,X,Xp11.3,P27338,309860,The protein encoded by this gene belongs to the flavin monoamine oxidase family. It is a enzyme located in the mitochondrial outer membrane. It catalyzes the oxidative deamination of biogenic and xenobiotic amines and plays an important role in the metabolism of neuroactive and vasoactive amines in the central nervous sysytem and peripheral tissues. This protein preferentially degrades benzylamine and phenylethylamine.,Multigenic CNV,"Deletions affecting the MAOB gene (in addition to the MAOA gene) have been identified in affected male siblings from multiplex families presenting with ASD or autistic features, in addition to severe developmental delay and hypotonia (Saito et al., 2013; Whibley et al., 2010).",6,1,27381555,0,,23414621,,,"20485326,22850464,28720891,34948243"
MAP1A,microtubule associated protein 1A,4130,"MAP1L, MTAP1A",15,15q15.3,P78559,600178,"This gene encodes a protein that belongs to the microtubule-associated protein family. The proteins of this family are thought to be involved in microtubule assembly, which is an essential step in neurogenesis. The product of this gene is a precursor polypeptide that presumably undergoes proteolytic processing to generate the final MAP1A heavy chain and LC2 light chain. Expression of this gene is almost exclusively in the brain. Studies of the rat microtubule-associated protein 1A gene suggested a role in early events of spinal cord development.",Rare single gene variant,"Large sample resequencing of 408 selected brain-expressed genes in a cohort of 142 ASD cases and 142 schizophrenia cases in Myers et al., 2011 found that MAP1A had a significant excess of rare missense variants in both disease cohorts.  Analysis of exome sequencing data from approximately 8,000 children with ASD and/or ADHD and 5,000 controls from the iPSYCH research initiative in Satterstrom et al., demonstrated that MAP1A had an excess of rare protein-truncating variants in cases compared to controls (11 in cases vs. 0 in controls; p-value 9.21E-03) and subsequently reached exome-wide significance following the inclusion of gnomAD data and Bonferroni correction (combined p-value 4.11E-07, odds ratio 16.4).  TADA analysis of de novo variants from the Simons Simplex Collection and the Autism Sequencing Consortium and protein-truncating variants from iPSYCH in Satterstrom et al., 2020 identified MAP1A as a candidate gene with a false discovery rate (FDR)  0.01.",4,0,,0,,21383861,,"31768057,31981491",35205252
MAP1B,microtubule associated protein 1B,4131,"DFNA83, FUTSCH, MAP5, PPP1R102, PVNH9",5,5q13.2,P46821,157129,"This gene encodes a protein that belongs to the microtubule-associated protein family. The proteins of this family are thought to be involved in microtubule assembly, which is an essential step in neurogenesis. The product of this gene is a precursor polypeptide that presumably undergoes proteolytic processing to generate the final MAP1B heavy chain and LC1 light chain. Gene knockout studies of the mouse microtubule-associated protein 1B gene suggested an important role in development and function of the nervous system.",Functional,"De novo variants in the MAP1B gene, including three loss-of-function variants, have been reported in individuals with a clinical diagnosis of ASD (De Rubeis et al., 2014; Satterstrom et al., 2020; Zhou et al., 2022; Spataro et al., 2023).  Heterozygous mutations in MAP1B are also responsible for periventricular nodular heterotopia-9 (OMIM 618918), an autosomal dominant neurologic disorder characterized by malformation of cortical development (including anterior predominant PVNH, thin corpus callosum, and decreased white matter volume), developmental delay, cognitive defects associated with low IQ (range 50 to 80), learning disabilities, seizures, and behavior abnormalities; autism spectrum disorder was reported in a subset of affected individuals with this disorder (Heinzen et al., 2018; Walters et al., 2018; Julca et al., 2019; Arya et al., 2021).   MAP1B has been shown to interact with FMRP, the protein encoded by the FMR1 gene, as well as with the protein encoded by the KIRREL3 gene (Zhang et al., 2001; Liu et al., 2015).",13,0,,0,,36980980,,37365192,"11733059,25363760,25902260,29738522,30150678,31317654,31981491,33772511,35982159,37506195,37543562"
MAP2,microtubule-associated protein 2,4133,"MAP2A, MAP2B, MAP2C, DKFZp686I2148",2,2q34,P11137,157130,The encoded protein is a member of microtubule-associated protein family.,Rare Single Gene variant,"Two autistic individuals were found to have ill-defined neocortical cellular layers, substantially depleted MAP2 neuronal expression, and reduced dendrite numbers (Mukaetova-Ladinska et al., 2004). In addition, a chromosome 2 deletion encompassing 47 genes, including the MAP2 gene, was found in a patient with autism and Rett syndrome-like features (Pescucci et al., 2003).",7,0,,0,,15541002,1465130,"17984326,18572149","14986829,35982159,36702863"
MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1,11184,HPK1,19,19q13.2,Q92918,601983,"Enables ATP binding activity and MAP kinase kinase kinase kinase activity. Involved in several processes, including JNK cascade; cellular response to phorbol 13-acetate 12-myristate; and protein phosphorylation.",Rare single gene variant,"De novo variants in the MAP4K1 gene have been identified in ASD probands, including a de novo missense variant (p.Met725Thr) in a proband from the Simons Simplex Collection (Iossifov et al., 2014; Sanders et al., 2015; Yuen et al., 2017).  Functional assessment of the ASD-associated p.Met725Thr missense variant in Drosophila using an overexpression-based strategy in Macrogliese et al., 2020 demonstrated that flies overexpressing MAP4K1-p.Met725Thr presented with a complex phenotype characterized by a loss-of-function effect in eyes and a gain-of-function effect in wings.",5,0,,0,,25363768,,35294868,"26402605,28263302,35982159"
MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4,9448,"FLH21957, HEL-S-31, HGK, MEKKK4, NIK",2,2q11.2,O95819,604666,"The protein encoded by this gene is a member of the serine/threonine protein kinase family. This kinase has been shown to specifically activate MAPK8/JNK. The activation of MAPK8 by this kinase is found to be inhibited by the dominant-negative mutants of MAP3K7/TAK1, MAP2K4/MKK4, and MAP2K7/MKK7, which suggests that this kinase may function through the MAP3K7-MAP2K4-MAP2K7 kinase cascade, and mediate the TNF-alpha signaling pathway.",Rare single gene variant,"Rare and potentially damaging missense variants in the MAP4K4 gene were identified in an ASD proband from the MSSNG cohort and an ASD proband from the SPARK cohort (Zhou et al., 2022).  Cesana et al., 2022 described two unrelated individuals with de novo loss-of-function variants in the MAP4K4 gene who presented with autism spectrum disorder, developmental delay, tall stature, and minor facial dysmorphic features.",2,0,,0,,35982159,,36469137,
MAPK1,Mitogen-activated protein kinase 1,5594,"ERK, ERK2, ERT1, MAPK2, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk",22,22q11.22,P28482,176948,Serine/threonine kinase which acts as an essential component of the MAP kinase signal transduction pathway.,Functional,"Mice with a conditional knockout of MAPK1 in the CNS exhibit marked anomalies in multiple aspects of social behaviors, decreased anxiety-related behaviors and impaired long-term memory (Satoh et al., 2011).",5,0,,0,,21849556,,,"27513193,32721402,35982159,37463579"
MAPK12,mitogen-activated protein kinase 12,6300,"ERK-6, ERK3, ERK6, MAPK 12, P38GAMMA, PRKM12, SAPK-3, SAPK3",22,22q13.33,P53778,602399,Serine/threonine kinase which acts as an essential component of the MAP kinase signal transduction pathway and plays a role in myoblast differentiation.,Rare single gene variant,"This gene was originally identified as an ASD candidate gene based on its enrichment in an autism-associated protein interaction module; sequencing of post-mortem brain tissue from 25 ASD cases resulted in the identification of significant non-synonymous variants in this gene with an expected false-positive rate at 0.1, confirming the involvement of this module with autism (Li et al., 2014).",2,0,,0,,25549968,,,37506195
MAPK3,mitogen-activated protein kinase 3,5595,"ERK1, HS44KDAP, HUMKER1A, MGC20180, P44ERK1, P44MAPK, PRKM3",16,16p11.2,P27361,601795,"The protein encoded by this gene is a member of the MAP kinase family. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act in a signaling cascade that regulates various cellular processes such as proliferation, differentiation, and cell cycle progression in response to a variety of extracellular signals. This kinase is activated by upstream kinases, resulting in its translocation to the nucleus where it phosphorylates nuclear targets. Alternatively spliced transcript variants encoding different protein isoforms have been described.",Rare Single Gene variant,"Rare mutations in the MAPK3 gene have been identified with ASD (Schaaf et al., 2011).",6,0,,1,31220273,21624971,,"28196412,29632383","25363760,33004838"
MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1,9479,"IB1, JIP-1, JIP1, PRKM8IP",11,11p11.2,Q9UQF2,604641,"This gene encodes a regulator of the pancreatic beta-cell function. It is highly similar to JIP-1, a mouse protein known to be a regulator of c-Jun amino-terminal kinase (Mapk8). This protein has been shown to prevent MAPK8 mediated activation of transcription factors, and to decrease IL-1 beta and MAP kinase kinase 1 (MEKK1) induced apoptosis in pancreatic beta cells. This protein also functions as a DNA-binding transactivator of the glucose transporter GLUT2. RE1-silencing transcription factor (REST) is reported to repress the expression of this gene in insulin-secreting beta cells. This gene is found to be mutated in a type 2 diabetes family, and thus is thought to be a susceptibility gene for type 2 diabetes.",Rare single gene variant,"A de novo missense variant in the MAPK8IP1 gene was identified in an ASD proband from the Simons Simplex Collection in Iossifov et al., 2014; functional assessment of this variant by a high throughput Massively Parallel Splicing Assay (MaPSY) in Rhine et al., 2022 demonstrated that this variant disrupted splicing, and this functional effect was further validated by RT-PCR.  Additional rare de novo non-coding variation in this gene has also been observed in ASD probands (Turner et al., 2016; Yuen et al., 2017).",4,0,,0,,25363768,,35051175,"26749308,28263302"
MAPK8IP2,Mitogen-activated protein kinase 8 interacting protein 2,23542,"IB2, JIP2, PRKM8IPL",22,22q13.33,Q13387,607755,This gene encodes a scaffold protein that is thought to be involved in the regulation of the c-Jun amino-terminal kinase signaling pathway. This protein has been shown to interact with and regulate the activity of MAPK8/JNK1 and MAP2K7/MKK7 kinases.,Functional,"Disruption of the MAPK8IP2 gene in mice results in reduced AMPA and enhanced NMDA receptor-mediated glutamatergic transmission in cerebellum and altered morphology of Purkinje cell dendritic arbors, as well as motor deficits and decreased social interaction (Giza et al., 2010).",1,0,,0,,21048139,,,
MAPT,microtubule associated protein tau,4137,"DDPAC, FTDP-17L, MSTD, MTBT1, MTBT2, PPND, PPP1R103, TAU, tau-40,MAPT",17,17q21.31,P10636,157140,"This gene encodes the microtubule-associated protein tau (MAPT) whose transcript undergoes complex, regulated alternative splicing, giving rise to several mRNA species. MAPT transcripts are differentially expressed in the nervous system, depending on stage of neuronal maturation and neuron type. MAPT gene mutations have been associated with several neurodegenerative disorders such as Alzheimer's disease, Pick's disease, frontotemporal dementia, cortico-basal degeneration and progressive supranuclear palsy.",Genetic association,"An intronic SNP in the MAPT gene (rs141455452) was found to be significantly associated with ASD (P-value 9.0E-07) in a genome-wide association meta-analysis of 18,381 ASD cases and 27,969 controls from iPSYCH and the Psychiatric Genomic Consortium (PGC) in Grove et al., 2019.  A transcriptome-wide association study (TWAS) of 7,805 ASD proband-parent trios, which was subsequently replicated using 35,740 independent samples, using eQTL and splicing quantitative trait loci in 12 brain tissues from GTEx and the CommonMind Consortium (CMC) in Huang et al., 2021 identified MAPT as a gene whose transcriptome-wide association with ASD remained significant after a stringent Bonferroni correction for all genes and all tissues in the analysis (meta-analysis P-value 5.67E-09 in CMC DLPFC-splicing tissue).",4,0,,0,,30804558,,,"33539344,34411509,37506195"
MAPT-AS1,MAPT antisense RNA 1,100128977,,17,17q21.31,,,"MAPT-AS1 encodes for a non-coding RNA that shows biased expression in brain, testis, adrenal tissue, and kidney.",Genetic association,"An intronic polymorphism in the MAPT-AS1 gene (rs112436750) was the index SNP for a loci that reached genome-wide significance with ASD (odds ratio 1.09 (95% CI 1.061.12), P-value 2.62E-08) in a meta-analysis of European case-pseudocontrol pairs from the SPARK cohort and the iPSYCH-PGC GWAS (Matoba et al., 2020).",1,0,,0,,32747698,,,
MARK1,microtubule affinity regulating kinase 1,4139,MARK; KIAA1477; MGC126512; MGC126513; MARK1,1,1q41,Q9P0L2,606511,"Serine/threonine-protein kinase involved in cell polarity and microtubule dynamics regulation. Phosphorylates DCX, MAP2, MAP4 and MAPT/TAU. Involved in cell polarity by phosphorylating the microtubule-associated proteins MAP2, MAP4 and MAPT/TAU at KXGS motifs, causing detachment from microtubules, and their disassembly. Involved in the regulation of neuronal migration through its dual activities in regulating cellular polarity and microtubule dynamics, possibly by phosphorylating and regulating DCX. Also acts as a positive regulator of the Wnt signaling pathway, probably by mediating phosphorylation of dishevelled proteins (DVL1, DVL2 and/or DVL3).",Genetic association/Functional,"Several SNPs within the MARK1 gene were significantly associated with ASDs by transmission disequilibrium tests in a family-based association study of multiplex ASD families. The ASD-associated SNP rs12410279 was found to modulate the level of MARK1 transcription. Furthermore, MARK1 was overexpressed in the prefrontal cortex of patients with autism and causes changes in the function of cortical dendrites (Maussion et al., 2008).",12,0,,0,,18492799,"7706316,9108484","16803889,17507984,17924967,19536824,26938441","24463507,25533962,35982159,37393044"
MARK2,microtubule affinity regulating kinase 2,2011,"EMK-1, EMK1, PAR-1, Par-1b, Par1b",11,11q13.1,Q7KZI7,600526,"This gene encodes a member of the Par-1 family of serine/threonine protein kinases. The protein is an important regulator of cell polarity in epithelial and neuronal cells, and also controls the stability of microtubules through phosphorylation and inactivation of several microtubule-associating proteins. The protein localizes to cell membranes.",Rare single gene variant,"A two-stage analysis of rare de novo and inherited coding variants in 42,607 ASD cases, including 35,130 new cases for the SPARK cohort, in Zhou et al., 2022 identified MARK2 as a gene reaching exome-wide significance (P < 2.5E-06); association of MARK2 with ASD risk was primarily driven by de novo variants.  A de novo missense variant in MARK2 was also identified in an ASD proband from the SAGE cohort in Guo et al., 2019.",5,0,,0,,35982159,,,"25363760,25363768,30504930,36320054"
MAST3,microtubule associated serine/threonine kinase 3,23031,DEE108,19,19p13.11,O60307,612258,"Predicted to enable protein serine/threonine kinase activity. Predicted to be involved in cytoskeleton organization; intracellular signal transduction; and peptidyl-serine phosphorylation.  MAST3 has been shown to interact with the ASD-associated gene PTEN (Valiente et al., 2005).",Functional,"De novo missense variants in the MAST3 gene have been identified in ASD probands from the Autism Sequencing Consortium (De Rubeis et al., 2014) and the MSSNG cohort (Yuen et al., 2017).  Shu et al., 2021 reported 11 individuals with de novo missense variants in the STK domain of the MAST3 gene presenting with developmental and epileptic encephalopathy (DEE) ; six of these patients also presented with ASD or autistic features, while a seventh patient also presented with stereotypy.  Subsequent functional analysis of MAST3 missense variants in this report demonstrated variable but generally lower expression with concomitant increased phosphorylation of the MAST3 target ARPP-16 compared to wild-type, suggesting gain-of-function effects.  Shu et al., 2022 reported four additional individuals with de novo MAST3 missense variants; two of these patients were diagnosed with ASD by ABC and CARS.  Additional analysis of published large-scale exome sequencing data in this report demonstrated an excess of missense variants in the DUF domain of MAST3 in ASD cohorts, as well as an excess of missense variants in the STK domain in DEE cohorts, when compared with gnomAD.",7,0,,0,,34185323,,35095415,"15951562,25363760,28263302,30842224,35982159"
MBD1,methyl-CpG binding domain protein 1,4152,RFT; PCM1; CXXC3,18,18q21.1,Q9UIS9,156535,The encoded protein binds specifically to methylated DNA and can repress transcription,Rare Single Gene variant,"Genetic association and rare variants have been found in the MBD1 gene associated with autism in a Caucasian and African-American cohort (Cukier et al., 2010).",8,0,,0,,15967618,"11371345,2004419","18385101,27920144,28100736","19921286,37506195"
MBD3,methyl-CpG binding domain protein 3,53615,,19,19p13.3,O95983,603573,"The encoded protein is is a subunit of the NuRD, a multisubunit complex containing nucleosome remodeling and histone deacetylase activities","Rare Single Gene variant, Genetic Association","Genetic association and rare variants have been found in the MBD3 gene associated with autism in a Caucasian and African-American cohort (Cukier et al., 2010).",4,0,,0,,19921286,"10947852,11274056",19888462,
MBD4,methyl-CpG binding domain protein 4,8930,MED1,3,3q21.3,O95243,603574,"The encoded protein forms a complex with MLH1, binds to methyl-CpG-containing DNA, has homology to bacterial DNA repair glycosylases/lyases, and displays endonuclease activity.","Rare Single Gene variant, Genetic Association","Genetic association and rare variants have been found in the MBD4 gene associated with autism in a Caucasian and African-American cohort (Cukier et al., 2010).",7,0,,0,,19921286,"10499592,12130785","19109892,19829383","25363768,31398340"
MBD5,Methyl-CpG binding domain protein 5,55777,"FLJ11113, FLJ30517, KIAA1461, MRD1",2,2q23.1,Q9P267,611472,"This gene encodes a member of the methyl-CpG-binding domain (MBD) family. Mutations in this gene cause mental retardation autosomal dominant type 1. Haploinsufficiency of this gene is associated with a syndrome involving microcephaly, intellectual disabilities, severe speech impairment, and seizures.",Rare single gene variant,"MBD5 was originally identified as a candidate gene in a report describing copy number variation in patients with unexplained mental retardation (Wagenstaller et al., 2007).  Since that report, numerous studies have implicated MBD5 haploinsufficiency as being associated with intellectual disability, epilepsy, and autism spectrum disorder (Jaillard et al., 2009; van Bon et al., 2010; Williams et al., 2010; Talkowski et al., 2011).  In particular, Talkowski et al. (2011) showed that the MBD5 locus defines the critical region of 2q23.1 microdeletion syndrome and showed significant reduction in MBD5 RNA expression in lymphoblastoid cell lines of individuals with MBD5 deletions.  That report also showed association of a missense variant (Gly79Glu) in 6/747 ASD cases compared to 3/3042 controls (P=0.012).  More recently, a balanced chromosomal abnormality (BCA) leading to MBD5 disruption was identified in an ASD case (Talkowski et al., 2012).  Mullegama et al., 2014 demonstrated that 2q23.1 microduplications affecting the MBD5 gene resulted in a duplication syndrome complementary to the 2q23.1 microdeletion syndrome .  De novo likely gene-disruptive/protein-truncating variants in the MBD5 gene have been identified in ASD probands from the Simons Simplex Collection and the Autism Sequencing Consortium (O'Roak et al., 2012; Lim et al., 2017).  TADA analysis of de novo variants from the Simons Simplex Collection and the Autism Sequencing Consortium and protein-truncating variants from iPSYCH in Satterstrom et al., 2020 identified MBD5 as a candidate gene with a false discovery rate (FDR)  0.01.  A de novo loss-of-function variant and several missense variants in the MBD5 gene were reported in ASD proband from the SPARK cohort in Zhou et al., 2022; a two-stage analysis of rare de novo and inherited coding variants in 42,607 ASD cases, including 35,130 new cases from the SPARK cohort, in this report identified MBD5 as a gene reaching exome-wide significance (P < 2.5E-06).",43,0,,0,,17847001,19904302,"23587880,23632792,25271084,25853262,25966365,26401017,26749308,31914384","18812405,19809484,21981781,22085995,22407754,22495309,22521361,22726846,23055267,23375656,23422940,23494922,23708187,25356899,27841880,27848944,28008202,28649445,28714951,28807762,30763456,30923172,31290275,31452935,31981491,32193494,33568206,34050248,34622207,35571021,35982159,37463579,37628781"
MBD6,Methyl-CpG binding domain protein 6,114785,KIAA1887,12,12q13.3,Q96DN6,,Binds to heterochromatin. Does not interact with either methylated or unmethylated DNA (in vitro),Rare single gene variant,"A total of 11 ASD-specific variants, seven of which were non-synonymous, in the MBD6 gene were identified in cases but not controls. One of these variants, MBD6 Arg883Trp, segregated with disease in a multiplex ASD family (Cukier et al., 2012).",3,0,,0,,23055267,,,"33431980,35982159"
MBOAT7,membrane bound O-acyltransferase domain containing 7,79143,"BB1, LENG4, LPIAT, LRC4, MBOA7, OACT7, hMBOA-7",19,19q13.42,Q96N66,606048,This gene encodes a member of the membrane-bound O-acyltransferases family of integral membrane proteins that have acyltransferase activity. The encoded protein is a lysophosphatidylinositol acyltransferase that has specificity for arachidonoyl-CoA as an acyl donor. This protein is involved in the reacylation of phospholipids as part of the phospholipid remodeling pathway known as the Land cycle.,Rare single gene variant,"Homozygous variants in the MBOAT7 gene were identified in 16 affected individuals presenting with intellectual disability from six consanguineous families; ASD was documented in seven of these individuals according to the Childhood Autism Rating Scale, and three additional individuals showed clinical autistic features (Johansen et al., 2016).",20,0,,0,,27616480,,32717741,"25363760,30701556,31130284,31282596,31398340,31852446,32645526,32744787,33335874,34356170,34979703,35509994,36672789,37506195,37628684,38088234,38374498,38407511"
MC4R,Melanocortin 4 receptor,4160,,18,18q21.32,P32245,155541,The protein encoded by this gene is a membrane-bound receptor and member of the melanocortin receptor family. The encoded protein interacts with adrenocorticotropic and MSH hormones and is mediated by G proteins. Defects in this gene are a cause of autosomal dominant obesity [MIM:601665].,Functional,"Both constitutive and induced genetic deletion of the gene encoding the melanocortin 4 receptor (MC4R), as well as pharmacologic inhibition of MC4R signaling, were found to normalize compulsive grooming and striatal electrophysiologic impairments in DLGAP3-nullmice, a model of human obsessive-compulsivedisorder (Xu et al., 2013).",4,0,,0,,23754400,,,"12490616,24923239,25652247"
MCC,"MCC, WNT signaling pathway regulator",4163,MCC1,5,5q22.2,P23508,159350,"This gene is a candidate colorectal tumor suppressor gene that is thought to negatively regulate cell cycle progression. The orthologous gene in the mouse expresses a phosphoprotein associated with the plasma membrane and membrane organelles, and overexpression of the mouse protein inhibits entry into S phase. Multiple transcript variants encoding different isoforms have been found for this gene.",Rare single gene variant,"A rare deletion of the MCC and APC genes was identified in a patient with autism and mental retardation (Barber et al., 1994).",7,0,,0,,8071957,,,"23275889,23375656,23533028,25997006,35982159,37506195"
MCM4,minichromosome maintenance complex component 4,4173,"CDC21, CDC54, NKCD, NKGCD, P1-CDC21, hCdc21",8,8q11.21,P33991,602638,The protein encoded by this gene is one of the highly conserved mini-chromosome maintenance proteins (MCM) that are essential for the initiation of eukaryotic genome replication.,Rare single gene variant,"Two de novo variants (a missense variant and a synonymous variant predicted in PMID 26938441 to affect splicing regulation by altering an exonic splicing regulator) were observed in the MCM4 gene in ASD probands (Fromer et al., 2014). Evaluation of the statistical significance of observing multiple functional de novo variants in this gene, taking into account gene length and local sequence context to determine the expected number of variants, generated a p-value of 2.21E-03 (Takata et al., 2016).",4,0,,0,,24463507,,26938441,"35982159,37506195"
MCM6,minichromosome maintenance complex component 6,4175,"MCG40308, Mis5, P105MCM",2,2q21.3,Q14566,601806,"The protein encoded by this gene is one of the highly conserved mini-chromosome maintenance proteins (MCM) that are essential for the initiation of eukaryotic genome replication. The hexameric protein complex formed by the MCM proteins is a key component of the pre-replication complex (pre_RC) and may be involved in the formation of replication forks and in the recruitment of other DNA replication related proteins. The MCM complex consisting of this protein and MCM2, 4 and 7 proteins possesses DNA helicase activity, and may act as a DNA unwinding enzyme. The phosphorylation of the complex by CDC2 kinase reduces the helicase activity, suggesting a role in the regulation of DNA replication.",Rare single gene variant,"De novo missense variants that were predicted in silico to be damaging were observed in the MCM6 gene in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014) and an ASD proband from a cohort of 262 Japanese trios (Takata et al., 2018). TADA-Denovo analysis using a combined dataset of previously published cohorts from the Simons Simplex Collection and the Autism Sequencing Consortium, as well as the Japanese ASD cohort from Takata et al., 2018, identified MCM6 as a gene significantly enriched in damaging de novo mutations in ASD cases (pBH < 0.05).",4,0,,0,,25363768,,"29346770,37198333",35982159
MCPH1,microcephalin 1,79648,MCT; BRIT1; FLJ12847,8,8p23.1,Q8NEM0,607117,This protein is implicated in chromosome condensation and DNA damage induced cellular responses. May play a role in neurogenesis and regulation of the size of the cerebral cortex.,Rare Single Gene variant,"Studies have found rare variants in the MCPH1 gene that are associated with autism (e.g. Ozgen et al., 2009; Neale et al., 2012).",19,0,,0,,19793310,"12046007,16151009","19546241,19925808,22139841,26938441","18716609,21837366,22495311,23275889,23375656,25558065,28714951,28831199,31398340,35205252,35982159,37506195"
MDGA2,MAM domain containing glycosylphosphatidylinositol anchor 2,161357,MAMDC1; c14_5286,14,14q21.3,Q7Z553,611128,The encoded protein is a member of the immunoglobulin domain cell adhesion molecule subfamily and and is proposed to be involved in regulating neuronal migration and axonal guidance,Genetic Association,"Rare variants in the MDGA2 gene have been identified with autism (Bucan et al., 2009). In addition, MDGA2 has been found to have genetic association with neuroticism (van den Oord et al., 2008).",9,0,,0,,19557195,15019943,18762592,"22738016,23358245,25363760,27457812,31398340,32820185"
MECP2,Methyl CpG binding protein 2,4204,"RTS, RTT, PPMX, MRX16, MRX79, AUTSX3, DKFZp686A24160",X,Xq28,P51608,300005,The encoded protein has methylation-dependent transcriptional repressor activity . It is also involved in regulation of RNA splicing.,Syndromic,"Mutations in the MECP2 gene underlie Rett syndrome, an autism spectrum disorder. Some studies have found that rare variations in the MECP2 gene are associated with autism, while others have looked and found no variants in autistic patients. It appears that EGR2 and MECP2 can regulate each other's expression (Swanberg et al., 2009).",130,1,15211631,1,11464249,10508514,"9038338,9620804","18678449,18773074,18817733,18820302,19000991,19628041,20188665,21068835,21085180,21982370,23220634,23260135,23440186,23452848,23770565,23770587,24150225,24285883,24448211,24916645,29618507,35074918","10854091,10986043,11007980,11309367,11807877,12615169,12707946,12770674,14986829,15689435,16966553,21600714,21624971,22883432,23020937,23055267,23352160,23352163,24776741,25167861,25473036,25533962,25914188,26490184,26666243,26845707,26936630,27159028,27799067,27824329,27848944,27864847,28230711,28263302,28333917,28394482,28397838,28554332,28785396,28831199,29141583,29286531,30091983,30417326,30564305,30675382,30842647,30945278,31031587,31130284,31134136,31139143,31178897,31209962,31452935,32094338,32469098,32477112,32631363,32722525,32851591,33526774,33619735,33753861,34145886,34457282,34626536,34773222,34800434,35147909,35242007,35253369,35266334,35322241,35390071,35571021,35741772,35813072,35873028,35982159,35985556,36082308,36724557,36881370,36973392,36980980,37007974,37393044,37506195,37541188,37543562,37645600,37799141,37822516,37943464,38096051,38100348,38177409,38233682,38256219,38321498,38374498,38438125"
MED12,mediator complex subunit 12,9968,"HOPA, OPA1, CAGH45, TNRC11, TRAP230, KIAA0192",X,Xq13.1,Q93074,300188,"The initiation of transcription is controlled in part by a large protein assembly known as the preinitiation complex. A component of this preinitiation complex is a 1.2 MDa protein aggregate called Mediator. This Mediator component binds with a CDK8 subcomplex which contains the protein encoded by this gene, mediator complex subunit 12 (MED12), along with MED13, CDK8 kinase, and cyclin C. The CDK8 subcomplex modulates Mediator-polymerase II interactions and thereby regulates transcription initiation and reinitation rates. The MED12 protein is essential for activating CDK8 kinase. Defects in this gene cause X-linked Opitz-Kaveggia syndrome, also known as FG syndrome, and Lujan-Fryns syndrome.",Genetic Association,"Rare variants in the MED12 gene were initially identified in ASD probands in Beyer et al., 2002, and more recently X-linked variants in MED12 have been observed in male ASD probands from the Simons Simplex Collection (Wang et al., 2020).  Mutations in MED12 are associated with several syndromic forms of intellectual disability, including Opitz-Kaveggia syndrome (Risheg et al., 2007), Lujan-Fryns syndrome (Schwartz et al., 2007), and X-linked Ohdo syndrome (Vulto-van Silfhout et al., 2013).  A review of phenotypes associated with MED12-related syndromes reported that behavioral abnormalities, including autistic features, were frequently observed in individuals with Lujan-Fryns syndrome (Graham and Schwartz, 2013).  Polla et al., 2020 characterized a cohort of 18 females presenting with neurodevelopmental disorders and harboring de novo variants in MED12; de novo protein-truncating MED12 variants were found to associate with a severe syndromic phenotype consisting of intellectual disability, facial dysmorphism, short stature, skeletal abnormalities, feeding difficulties, and other variable abnormalities, whereas de novo missense variants in MED12 were associated with a less specific but homogeneous phenotype including severe intellectual disability, autism spectrum disorder or autistic features, limited speech, and other variable anomalies.  Autism spectrum disorder had previously been observed in two female patients with de novo MED12 missense variants from cohorts with intellectual disability (Fieremans et al., 2016; Halvardson et al., 2016).  While no genetic association has been observed between a 12-bp duplication in the MED12 gene and autism in a German population cohort (Beyer et al., 2002) and in the SCAP cohort (Michaelis et al., 2000), genetic association between this duplication and schizophrenia has been observed in a northern European population cohort (Philibert 2006).",32,0,,1,11039861,11840515,"10480376,17334363,17369503","16538184,16712834,23091001,33244165","18691967,23000143,23395478,24123922,25533962,26273451,26845707,27159028,27334371,27500536,27848944,29158550,29286531,31906484,33023636,33753861,35322241,35390071,35982159,36309498,36980980,37543562,38321498"
MED12L,mediator complex subunit 12L,116931,"NOPAR, TNRC11L, TRALP, TRALPUSH",3,3q25.1,Q86YW9,611318,"The protein encoded by this gene is part of the Mediator complex, which is involved in transcriptional coactivation of nearly all RNA polymerase II-dependent genes. The Mediator complex links gene-specific transcriptional activators with the basal transcription machinery.",Rare single gene variant,"Rare de novo missense variants in the MED12L gene have been observed in ASD probands from simplex families (Iossifov et al., 2014; Yuen et al., 2017).  Nizon et al., 2019 described a cohort of seven individuals harboring MED12L variants that presented with developmental delay/intellectual disability; furthermore, four of these individuals also presented with autism spectrum disorder/autistic features.",7,0,,0,,25363768,,31155615,"28263302,31452935,35982159,37543562,37943464"
